ID,Created at,Screen name,Slug,Members,Subscribers,Mode,Description
69180541,2012-04-19 15:16:28 +0000,mylesb,awesome-people,11,0,private,
211271106,2015-06-19 19:39:56 +0000,mylesb,comic-book,27,0,public,
211271937,2015-06-19 19:53:47 +0000,mylesb,creators,10,0,public,
206777546,2015-05-14 22:13:36 +0000,mylesb,egocentric,23,0,private,
223299727,2015-10-21 17:46:03 +0000,mylesb,family,3,0,private,
225745724,2015-11-13 17:55:42 +0000,mylesb,finance,1,0,public,
217980649,2015-08-22 20:48:59 +0000,mylesb,infosec,6,0,public,
218783989,2015-08-31 03:41:56 +0000,mylesb,music-news,16,0,public,
177088445,2014-10-29 16:55:31 +0000,mylesb,musicians-bands,32,0,public,
177088201,2014-10-29 16:54:44 +0000,mylesb,news-services-reporters,36,0,public,New Services and Reporters.
188416438,2015-01-12 14:44:53 +0000,mylesb,parody,16,0,public,Parody Twitter accounts.
221354648,2015-09-28 22:11:44 +0000,mylesb,photographers,1,0,public,
177088039,2014-10-29 16:54:13 +0000,mylesb,politicians,13,0,public,
221335324,2015-09-28 17:21:15 +0000,mylesb,programming,38,0,public,Programmers/Programming related Twitter accounts.
229256396,2015-12-14 19:20:12 +0000,mylesb,science,1,0,public,
182391409,2014-11-20 20:48:20 +0000,mylesb,space,10,0,public,
183208413,2014-11-27 14:02:29 +0000,mylesb,technology,34,0,public,
206777455,2015-05-14 22:12:54 +0000,mylesb,toronto,13,0,public,
182391444,2014-11-20 20:48:54 +0000,mylesb,user-groups,13,0,public,
