ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
18396706,2008-12-26 22:36:01 +0000,2015-12-10 04:30:59 +0000,422,3,10473,65,853245,arcadefire,Arcade Fire,true,false,,"RT @butlerwills: Last dance with Mary Jane, one last chance to kill the pain: https://t.co/VFZQuDGdCe
Buy tix here: https://t.co/PDDMipSHSK",Montreal,http://www.arcadefire.com
23821435,2009-03-11 20:17:31 +0000,2016-01-11 13:30:18 +0000,11065,1835,1370,896,112715,beatricepirate,Coeur de pirate,true,false,"Je chante, I sing.. + http://t.co/V3Tnrcqtp1 Roses disponible ici - Roses now available for purchase here http://t.co/6KD0WEyl1o","Moi : ""Romy les dents d'une baleine...ça s'appelle comment?""
Romy : ""Les dents de la mer.""
Moi : *O*","Montréal, QC, Canada",http://www.coeurdepirate.com
42985916,2009-05-27 22:45:46 +0000,2016-01-07 00:22:08 +0000,2593,1953,57,419,878,boxerthehorse,Boxer the Horse,false,false,twitter account very much alive,@_a_n_d_y_m_a_c_ racist,hell,http://www.boxerthehorse.bandcamp.com
24772669,2009-03-16 21:23:17 +0000,2015-12-23 14:31:08 +0000,815,57,1932,6378,68142,bssmusic,Broken Social Scene,true,false,K. Drew (@KevinSelection) B. Canning (@CanningB) J. Peroff (@juniorpande) C. Spearin (@UnbornUnicorn) A. Whiteman (@AroarAAroarA) S. Goldberg (@samgoldbergjr),A new episode of Tapioca is archived. Two hours of music provided by our very own Justin Peroff aka @juniorpande - https://t.co/MHmcUpM9Iu,,http://www.brokensocialscene.ca
15235629,2008-06-25 19:44:26 +0000,2016-01-11 00:15:23 +0000,21408,1678,1956,2381,93372,CBCRadio3,CBC Radio 3,true,false,The best in new and emerging Canadian music. Listen online: https://t.co/PRqvHPCOWn or on SiriusXM 162. Subscribe to our podcast: https://t.co/68M2QorMIU,New music from @eveninghymns on our #top30 this week. See the full list: https://t.co/NSLnLkWcO5 https://t.co/f4tXCWfktW,Canada,http://www.cbcmusic.ca/radio3
35944242,2009-04-28 01:40:11 +0000,2016-01-11 05:20:15 +0000,3745,372,1841,159,280019,cityandcolour,Dallas Green,true,false,If I Should Go Before You  Pick it up NOW http://t.co/HayrmypGVn,"who's gonna watch? Tomorrow, Monday January 11 Network TV debut on @jimmykimmellive #lovercomeback #jimmykimmel https://t.co/aQOk0Qsqt4",Canada,
33443369,2009-04-20 06:06:58 +0000,2016-01-10 22:43:50 +0000,9721,6,1028,2045,55188,danmanganmusic,Dan Mangan,true,false,New album CLUB MEDS available now via Arts & Crafts / City Slang. SXSW dates and April UK/EU tour details here: http://t.co/4BSHQcVWzK,This shot from Alix Gooldin Hall courtesy of discoveryphotos https://t.co/CS7lIk6H1s,Vancouver,http://www.danmanganmusic.com
19279990,2009-01-21 07:32:47 +0000,,21,3,14355,0,1784911,donaldglover,childish gambino,true,false,,,,
3273378864,2015-07-09 21:45:16 +0000,2016-01-10 21:21:43 +0000,337,1682,69,102,7633,EL__VY,EL VY,true,false,EL VY (pronounced like plural Elvis)  |  http://t.co/GOiNlyI4JE |  http://t.co/SHxyFl4MMf,Tomorrow... https://t.co/HuLQzzP4gZ,,http://elvy.co
47216135,2009-06-15 00:40:00 +0000,2016-01-08 16:59:08 +0000,2833,1201,284,127,22417,ElliottBROOD,Elliott BROOD,true,false,NEW ALBUM . WORK AND LOVE . AVAILBLE NOW,We're partnering up with our friends @GreatLakeSwim to tour NFLD in April!  Tour dates and ticket info here! https://t.co/8hduQwJiPk,"Hamilton, Ontario",http://www.elliottbrood.com
22174993,2009-02-27 19:04:38 +0000,2016-01-08 21:48:40 +0000,1365,1428,593,554,32307,GreatLakeSwim,Great Lake Swimmers,true,false,"New album 'A Forest Of Arms' out now. iTunes: https://t.co/fAxKGZ2Hq5
Facebook: https://t.co/IMBBaadS6S
Instagram: https://t.co/AoCq0ksGbR",Pleased to announce shows with Arts &amp; Culture Centres and @ElliottBROOD in Newfoundland and Labrador this spring https://t.co/tUi6o01ev3,"Toronto, Ontario",http://www.greatlakeswimmers.com
106535821,2010-01-19 21:54:34 +0000,2016-01-11 03:43:47 +0000,11433,6353,313,1058,10383,jenngrantmusic,Jenn Grant,true,false,take a step into a field of stars ✨✨✨ compostela gonna spin you all night baby all night longgg all nighhhhht... http://t.co/4pIAwCbxK7 LP & CD,@thorneyhfx CAN YOU GUESS HOW MANY RAGE TWEETS I HAVE DELETED excuse me while I go suck my own bass dick hole.,LAKE ECHO/NOVA SCOTIA/CANADA,http://www.jenngrant.com
74784532,2009-09-16 17:25:40 +0000,2016-01-11 13:13:14 +0000,9701,9660,819,365,61096,joelplaskett,Joel Plaskett,true,false,I met my love down at the Khyber.,"We've lost a true innovator. Who's going to show us the future now? Rest in peace, David Bowie. See you in the stars.",getting there,http://www.joelplaskett.com
416769484,2011-11-20 03:55:01 +0000,2016-01-05 20:05:38 +0000,3473,2686,166,286,12961,julytalk,July Talk,true,false,Watch our FROM THE ROAD series today at:,We’ve teamed up with @JamesonCanada to curate a playlist of some of our favourite songs! Listen now on @Spotify: https://t.co/L8NteJfLlA,,http://www.julytalk.com
233328259,2011-01-02 23:23:09 +0000,2016-01-09 12:36:05 +0000,6177,40,553,321,43408,kittythefool,Kathleen Edwards,true,false,don't make me choose between bryan adams and ryan adams.  i won't do it.,RT @dognkitty: If you're feeling a little said just look at this https://t.co/FdAHSNvuVp,,
19010580,2009-01-15 04:20:00 +0000,2016-01-10 07:58:59 +0000,2622,9,2639,771,200924,KNAAN,K'naan Warsame,true,false,The Fox,"@E_Lew12 appreciate it man, I didnt read it as hate","ÜT: 34.097864,-118.36604",http://www.knaanmusic.com
50404736,2009-06-24 19:21:15 +0000,2016-01-01 18:09:52 +0000,4606,2959,650,868,63594,mothermother,Mother Mother,true,false,"5 piece indie rock band from Vancouver, BC @ryanguldemond @mollyguldemond @jasminparkin @alisiadat @jeremypage_ US Tour: http://t.co/UUIV2jZYTH",A belated Merry Christmas and Happy 2016 to all of you from us! Thank you to everyone who helped… https://t.co/rVvTWR1FFX,"Vancouver, B.C.",http://www.mothermothersite.com
67728650,2009-08-21 21:48:25 +0000,2016-01-11 14:27:45 +0000,19695,2050,2060,1686,127863,mountain_goats,The Mountain Goats,true,false,"nice boys who make the good, rocking tunes","This has been in the works for months, the announcement scheduled for today. We will celebrate the gift of his music https://t.co/pdOnSKWH2b",NC/SC,http://mountain-goats.com
459368500,2012-01-09 15:52:35 +0000,2016-01-11 02:02:43 +0000,455,38,4,156,80,nostepmusic,NO STEP,false,false,A GUY WHO MAKES ELECTRONIC MUSIC THAT'S NOT ENTIRELY TERRIBLE // An @fzero production,"A bit last minute, but I'll play at RAW:FUTURES this Friday at @TheModClub

https://t.co/tDGuKbIyW8","Toronto, ON",http://www.nostep.ca
21196272,2009-02-18 13:43:39 +0000,2016-01-11 14:00:21 +0000,6800,1249,1081,575,63707,okkervilriver,Okkervil River,true,false,Pre-order Black Sheep Boy Anniversary Edition now.,"RT @PhizLair: I can't handle that he slid that one by us new level of appreciation for the man IMO David Bowie top 5 all time, curator to the end",,http://www.okkervilriver.com/
338084918,2011-07-19 02:08:57 +0000,2016-01-11 08:10:47 +0000,3575,466,12516,970,8209968,Pharrell,Pharrell Williams,true,false,@i_am_OTHER,"David Bowie was a true innovator, a true creative. May he rest in peace 🖖🏾 #RIPDavidBowie",,http://smarturl.it/PWFreedom
14939981,2008-05-29 02:17:23 +0000,2016-01-11 10:16:35 +0000,56546,83,20462,8023,3551972,questlove,Questlove Gomez,true,false,"never a teacher, always a student. the correct answer is always PB&J.--oh i do have 15 actual jobs #BlueCollar1Percenter.","Flying back to work. #GoldenGlobes @ Van Nuys, California https://t.co/KeTH13UqXk",Philly & Fi-Di NYC & 31Rock,http://itunes.apple.com/us/artist/the-roots/id43680
261460946,2011-03-06 00:48:26 +0000,2016-01-06 15:25:54 +0000,592,974,26,181,561,racoon_bandit,Racoon the Bandit,false,false,Local folkers (PEI). Close Your Eyes/Into the Hills / Campcraft all avail here:  https://t.co/hWuSJSF4Yf,RT @MusicPEI: We're hiring for May Run Music Festival! Certain criteria applies! https://t.co/8HCk9K1lR2 @skillspei @CulturePEI https://t.co/yVRm2Q4isn,"Charlottetown, PE",
