ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
16220555,2008-09-10 13:24:51 +0000,2016-01-10 05:29:25 +0000,31909,225,3715,5968,229728,ElizabethMay,Elizabeth May,true,false,"Leader of Green Party, Saanich-Gulf Islands, activist, author & mother. Tweets are Elizabeth's unless signed by Hill Staff -hs. En français - @MayElizabeth","RT @LizT1: Change rules to end crown corporation patronage in the wake of Ridley Terminals hiring, says @ElizabethMay https://t.co/0rRWlMca2v #cdnpoli","Sidney, British Columbia",http://www.elizabethmay.ca
89760824,2009-11-13 18:27:02 +0000,2016-01-11 15:26:30 +0000,11334,1134,990,379,89069,JohnTory,John Tory,true,false,Mayor of Toronto,RT @anabailaoTO: Giving remarks on behalf of Mayor @JohnTory to the 9th Annual Equity Symposium co-hosted by @cupelocal79 &amp; the City. https://t.co/YsBedMzOov,Toronto,http://www.johntory.ca
14260960,2008-03-30 21:04:14 +0000,2016-01-10 17:24:00 +0000,9631,41,6118,919,1262296,JustinTrudeau,Justin Trudeau,true,false,This account is run by Justin Trudeau and campaign staff.... Ce compte est géré par Justin Trudeau et le personnel de campagne.,"I just voted for the Raptors' Kyle Lowry for the NBA All-Star game. RT this tweet and it counts as your vote, too! #NBAVote #WeTheNorth",Papineau,http://justin.ca
193725962,2010-09-22 15:00:50 +0000,2016-01-11 15:23:04 +0000,8676,1,1343,1033,102445,Kathleen_Wynne,Kathleen Wynne,true,false,"Leader of the Ontario Liberal Party & Premier of Ontario. Run, don’t walk. / Chef du Parti libéral de l’Ontario & première ministre de l'Ontario. À vos marques.",On avance avec notre plan pour faire progresser l’Ontario. Voyez les progrès réalisés par chaque ministre ici: https://t.co/hKtTNNPJvZ,Ontario,http://kathleenwynne.ca
20452161,2009-02-09 17:56:46 +0000,2016-01-11 15:35:21 +0000,27180,2401,662,2262,18248,kristynwongtam,Kristyn Wong-Tam,false,false,Progressive. Urbanist. Unapologetic. Champion of all things #Toronto. #publicspace #humanrights #gender #equity #a11y Profanity not welcome. RT NOT endorsements,Serious police discipline cases often handled in secret: Star investigation https://t.co/KNTxNLMe3e,"Toronto, Turtle Island ",http://www.kristynwongtam.ca
16397147,2008-09-22 00:29:05 +0000,2016-01-11 15:23:27 +0000,16667,6072,1730,5998,183006,liberal_party,Liberal Party,true,false,Official Twitter account of the Liberal Party of Canada. En français à @parti_liberal,RT @Bill_Morneau: A power outage in #Halifax on day one of #PBC16 won't stop us. We're holding our consultation by candlelight! https://t.co/AohsEymLUW,Canada,http://www.liberal.ca
312759403,2011-06-07 16:34:41 +0000,2016-01-10 23:40:22 +0000,601,1115,72,807,2054,marcomendicino,Marco Mendicino,false,false,"Father, husband, lawyer. Member of Parliament for Eglinton-Lawrence. #TeamTrudeau","RT @PamDamoff: What an incredible experience today to join #JnJCanada employees to help put together 10,000 refugee kits #JNJCares https://t.co/OqsaN00MDE",Toronto,http://www.vote4marco.org/
188007231,2010-09-07 18:14:04 +0000,2016-01-05 19:22:05 +0000,4730,141,836,271,147749,NDP_HQ,NDP_HQ,true,false,Official Twitter account for the New Democratic Party of Canada // Follow Tom Mulcair @ThomasMulcair // Suivez-nous en français à @NPD_QG,"RT @MacleansMag: On climate, refugees, trade deals and his own future: @ThomasMulcair speaks with @Geddes28 https://t.co/mInQ0lFbdb https://t.co/63jwuHJMgI",Canada,http://www.ndp.ca
163562125,2010-07-06 18:46:33 +0000,2016-01-11 13:58:53 +0000,12912,5120,671,895,228001,norm,Norm Kelly,true,false,"City of Toronto Councillor, Ward 40                               Mrs. Kelly's Favourite Son",I'll miss him. He made people think. https://t.co/t6OFhN9WCm,Toronto ,https://www.instagram.com/normkelly/
20059181,2009-02-04 15:06:17 +0000,2016-01-11 13:22:37 +0000,7541,802,1505,1361,74056,oliviachow,Olivia Chow,true,false,,"""I'll be free, just like that bluebird. Look up here, I'm in heaven."" Free, just like #DavidBowie",Toronto,http://www.oliviachow.ca
48237258,2009-06-18 03:57:43 +0000,2016-01-08 22:10:01 +0000,4870,118,439,496,5903,piratepartyca,Pirate Party Canada,false,false,A political party devoted to reforming Canadian information laws to meet the needs of the new century. / En français @partipirateca #mincome #VotePirate,RT @EFF: TPP fails Internet users in requiring all of its strict copyright enforcement without any of the user safeguards: https://t.co/WdrEsbwzBO,Canada,http://pirateparty.ca
7401202,2007-07-11 13:15:44 +0000,2015-11-14 01:28:52 +0000,3582,3,8442,217,971797,stephenharper,Stephen Harper,true,false,Official Twitter account for Canada's 22nd Prime Minister. | Compte Twitter officiel du 22e Premier ministre du Canada,Tonight our thoughts and prayers are with the innocent victims of these savage terrorist attacks in Paris.,"Calgary, Alberta",http://www.StephenHarper.ca
519150699,2012-03-09 03:45:33 +0000,2016-01-05 13:35:36 +0000,287,55,13,147,486,ThomsonYYZ,Andrew Thomson,false,false,Tech. Toronto. Travel. Politics.,RT @nationalpost: ‘Not a trivial amount’: Government debt in Canada at historic high — $1.3-trillion in 2016 https://t.co/rbPQLx3dMc https://t.co/X5CclE1Xn7,Toronto,
