ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
18396706,2008-12-26 22:36:01 +0000,2015-10-17 13:37:25 +0000,413,3,10446,63,849407,arcadefire,Arcade Fire,true,false,,#ReflektorTapes @MarfaFilmFest screening this Saturday and Sunday Oct 17 &amp; 18 at 5pm at 407 W San Antonio St.,Montreal,http://www.arcadefire.com
23821435,2009-03-11 20:17:31 +0000,2015-10-19 17:39:36 +0000,10512,1317,1356,817,108709,beatricepirate,Coeur de pirate,true,false,"Je chante, I sing.. + http://t.co/V3Tnrcqtp1 Roses disponible ici - Roses now available for purchase here http://t.co/6KD0WEyl1o","Don't forget to add me on snapchat : crdepirate.  (Also, go vote today)","Montréal, QC, Canada",http://www.coeurdepirate.com
24772669,2009-03-16 21:23:17 +0000,2015-10-07 19:16:40 +0000,812,57,1937,6393,68045,bssmusic,Broken Social Scene,true,false,K. Drew (@KevinSelection) B. Canning (@CanningB) J. Peroff (@juniorpande) C. Spearin (@UnbornUnicorn) A. Whiteman (@AroarAAroarA) S. Goldberg (@samgoldbergjr),"RT @artsandcrafts: This week marks the 10th anniversary of @bssmusic's S/T! 
RT to win a 2xLP copy + limited edition 7"" #STBSS10 http://t.co/Q4d8DzdTP2",,http://www.brokensocialscene.ca
15235629,2008-06-25 19:44:26 +0000,2015-10-19 17:21:02 +0000,20714,1578,1947,2426,92839,CBCRadio3,CBC Radio 3,true,false,"Breaking New Sound.
Listen online: http://t.co/Ce4YIylTvc | SiriusXM 162.",Check out new music from @majicalcloudz @glorygloryband &amp; @Gang_Signs on the #R330 this week: http://t.co/wIyAPRqLzp http://t.co/kZ9wacuJbS,"Vancouver, Canada",http://www.cbcmusic.ca/radio3
35944242,2009-04-28 01:40:11 +0000,2015-10-19 07:52:03 +0000,3628,285,1847,153,279380,cityandcolour,Dallas Green,true,false,If I Should Go Before You  Pick it up NOW http://t.co/HayrmypGVn,"AUSTRALIA: set your alarms -- I'm stopping by @morningshowon7 tomorrow to perform ""Lover Come Back"" &amp; talk about the album &amp; upcoming tour!",Canada,
33443369,2009-04-20 06:06:58 +0000,2015-10-19 16:33:14 +0000,9505,6,1029,2039,55080,danmanganmusic,Dan Mangan,true,false,New album CLUB MEDS available now via Arts & Crafts / City Slang. SXSW dates and April UK/EU tour details here: http://t.co/4BSHQcVWzK,"RT @heyrosetta: Happy Election Day Canada! Lets make it happy! Before you vote, check this: http://t.co/JdZrLU6Uht #heavesteve #imagineoct20th xo tb",Vancouver,http://www.danmanganmusic.com
3273378864,2015-07-09 21:45:16 +0000,2015-10-19 13:29:16 +0000,100,506,33,95,2809,EL__VY,EL VY,true,false,EL VY (pronounced like plural Elvis)  |  http://t.co/GOiNlyI4JE |  http://t.co/SHxyFl4MMf,Matt played w/ #TheNational last night. Featured a great moment w/ @laurenevemay of @Chvrches. Next stop #ELVY tour! http://t.co/Z3PuV5jGmW,,http://elvy.co
47216135,2009-06-15 00:40:00 +0000,2015-10-19 13:46:06 +0000,2734,1092,284,123,22384,ElliottBROOD,Elliott BROOD,false,false,NEW ALBUM . WORK AND LOVE . AVAILBLE NOW,Youth of Canada!!  This country is yours.  Go make it what you want it to be. #GoVote2015,"Hamilton, Ontario",http://www.elliottbrood.com
22174993,2009-02-27 19:04:38 +0000,2015-10-19 02:08:43 +0000,1286,1263,594,893,32313,GreatLakeSwim,Great Lake Swimmers,true,false,New album 'A Forest Of Arms' out now. Tony: @GreatLakeSwim Erik: @erikthebanjo Miranda: @miramulholland Bret: @BretHiggins Joshua: @j_v_t,"Great Lake Swimmers in Québec @ L'Anti, 5 Décembre. Billets: https://t.co/C40GBQ3Yqr http://t.co/hNtyu4nJVv","Toronto, Ontario",http://www.greatlakeswimmers.com
106535821,2010-01-19 21:54:34 +0000,2015-10-19 17:45:41 +0000,11174,6070,313,1033,10089,jenngrantmusic,Jenn Grant,true,false,take a step into a field of stars ✨✨✨ compostela gonna spin you all night baby all night longgg all nighhhhht... http://t.co/4pIAwCbxK7 LP & CD,2 Shows in PEI th and fr!! 🍁🌷🌼🌸💐🌹🌾🍃 https://t.co/E2VsVzS0gV,LAKE ECHO/NOVA SCOTIA/CANADA,http://www.jenngrant.com
