ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
16220555,2008-09-10 13:24:51 +0000,2015-10-19 17:35:14 +0000,30475,213,3574,5931,199148,ElizabethMay,Elizabeth May ,true,false,"Leader of Green Party, Saanich-Gulf Islands, activist, author & mother. Tweets are Elizabeth's unless signed by Hill Staff -hs. En français - @MayElizabeth","RT @JoAnnRobertsYYJ: ""Jo-Ann will be a strong, principled representative"" - @AdamPOlsen http://t.co/Qk8HSq5dsj http://t.co/gnvKi8vHgL","Sidney, British Columbia",http://www.elizabethmay.ca
89760824,2009-11-13 18:27:02 +0000,2015-10-19 13:15:20 +0000,10246,761,907,359,76120,JohnTory,John Tory,true,false,Mayor of Toronto,"Okay Toronto expats, I’m hearing Rileys Sports Bar or Maple Leaf pub to watch the Jays in London. That sound right? #ComeTogether",Toronto,http://www.johntory.ca
14260960,2008-03-30 21:04:14 +0000,2015-10-19 17:34:44 +0000,9259,40,4727,835,791048,JustinTrudeau,Justin Trudeau,true,false,This account is run by Justin Trudeau and campaign staff.... Ce compte est géré par Justin Trudeau et le personnel de campagne.,"Before you settle in to watch to the @BlueJays game tonight, remember to vote! #elxn42 #ComeTogether
https://t.co/VJgEYYnjx2",Papineau,http://justin.ca
193725962,2010-09-22 15:00:50 +0000,2015-10-19 16:30:22 +0000,7604,1,1238,1026,92075,Kathleen_Wynne,Kathleen Wynne,true,false,"Leader of the Ontario Liberal Party & Premier of Ontario. Run, don’t walk. / Chef du Parti libéral de l’Ontario & première ministre de l'Ontario. À vos marques.",Ontario women have a history of changing the world. #WHM2015 http://t.co/vScGr9UkLt,Ontario,http://kathleenwynne.ca
20452161,2009-02-09 17:56:46 +0000,2015-10-19 15:01:02 +0000,26408,2222,647,2224,17782,kristynwongtam,Kristyn Wong-Tam,false,false,Progressive & unapologetic. #publicspace #urbanism Champion of all things #Toronto. Users of profanity not welcome. RT NOT endorsements,RT @JohnRalstonSaul: #elxn42 - worth the read https://t.co/goKuQU4Mtp,"Toronto, Turtle Island ",http://www.kristynwongtam.ca
16397147,2008-09-22 00:29:05 +0000,2015-10-19 17:44:49 +0000,16043,6074,1603,6000,156058,liberal_party,Liberal Party,true,false,Official Twitter account of the Liberal Party of Canada. En français à @parti_liberal,@allieradiogaga thank you for supporting @JeffreyTRock!,Canada,http://www.liberal.ca
312759403,2011-06-07 16:34:41 +0000,2015-10-19 15:12:15 +0000,476,766,40,717,1410,marcomendicino,Marco Mendicino,false,false,"Federal Liberal candidate running in my home riding of Eglinton-Lawrence. Father, husband, lawyer. #TeamTrudeau",RT @JustinTrudeau: Vote Now! #elxn42 #RealChange http://t.co/8TJpc1V12L,Toronto,http://www.vote4marco.org/
188007231,2010-09-07 18:14:04 +0000,2015-10-19 17:37:31 +0000,4685,140,761,274,124296,NDP_HQ,NDP_HQ,true,false,Official Twitter account for the New Democratic Party of Canada // Follow Tom Mulcair @ThomasMulcair // Suivez-nous en français à @NPD_QG,"RT @nikiashton: Today, vote for 1 000 000 national affordable childcare spaces. Vote #NDP. http://t.co/9KYyR0XRev #forournorth @Lets_Rethink @10aDayPlan",Canada,http://www.ndp.ca
163562125,2010-07-06 18:46:33 +0000,2015-10-19 15:18:54 +0000,12197,4791,574,981,196116,norm,Norm Kelly,true,false,"City of Toronto Councillor, Ward 40                                                         Mrs. Kelly's Favourite Son","RT @LILBTHEBASEDGOD: @norm @BlueJays hey norm! I will talk to ""The BasedGod"" tonight about it !!! Thank you for hitting me up again last time worked!! - Lil B",Toronto ,http://www.normkelly.com
20059181,2009-02-04 15:06:17 +0000,2015-10-19 17:23:15 +0000,7490,790,1521,1343,71507,oliviachow,Olivia Chow,true,false,"Teacher, organizer, childcare advocate. Running to be your #NDP Member of Parliament in Spadina-Fort York. #SpaFY",Pulling votes on Palmerston Avenue and met up with old friends and @m_layton #spafy http://t.co/CQa3ACqdR9,Toronto,http://www.oliviachow.ca
48237258,2009-06-18 03:57:43 +0000,2015-10-19 17:58:55 +0000,4578,110,430,482,5899,piratepartyca,Pirate Party Canada,false,false,A political party devoted to reforming Canadian information laws to meet the needs of the new century. / En français @partipirateca #mincome #VotePirate,@pattersontoo Call the party you are voting for. They'll be happy to pick you up and drive you there. #elxn42,Canada,http://pirateparty.ca
7401202,2007-07-11 13:15:44 +0000,2015-10-19 13:21:50 +0000,3577,3,8480,225,918894,pmharper,Stephen Harper,true,false,"Prime Minister of Canada. 

Suivez-moi en français à @premierministre.","Today, I’m asking you to vote Conservative to protect Canadian jobs and our economy. #cdnpoli #elxn42 http://t.co/IFkyJBap3Z","Ottawa, Ontario",http://www.StephenHarper.ca
519150699,2012-03-09 03:45:33 +0000,2015-10-19 01:58:21 +0000,148,16,14,110,494,thomson_ndp,Andrew Thomson,false,false,NDP candidate for Parliament in Eglinton Lawrence. Proud Torontonian. Former Finance Minister of Saskatchewan. Progressive. Pragmatic. #Ready4Change,Former Mobil Oil lobbyist with ties to #LPC Chretien govt takes offense to us raising #Gagnier #cdnpoli #elxn42  https://t.co/kcpNmJvJbP,Toronto,http://www.ndp.ca
